mission_id,object_id,track_id,class,motion_state,association_status,association_confidence,pos_x_local,pos_y_local,pos_z_local,coordinate_system,scale_status,reprojection_error_px,observations_count,metric_length_m,metric_width_m,metric_height_m
north-ridge,OBJ_T0041,T0041,bus,STATIC,VALID,0.7,-1.2250,-0.5910,16.0950,LOCAL_ARBITRARY,RELATIVE_SCALE,11.0700,4,,,
north-ridge,OBJ_T0042,T0042,van,STATIC,VALID,0.716,-1.2310,-0.5280,15.8540,LOCAL_ARBITRARY,RELATIVE_SCALE,11.5600,6,,,
north-ridge,OBJ_T0043,T0043,van,STATIC,LOW_CONFIDENCE,0.567,-0.8440,2.0680,7.5790,LOCAL_ARBITRARY,RELATIVE_SCALE,0.1000,1,,,
north-ridge,OBJ_T0044,T0044,van,STATIC,VALID,0.781,-1.2130,-0.7790,16.5830,LOCAL_ARBITRARY,RELATIVE_SCALE,5.7900,3,,,
north-ridge,OBJ_T0045,T0045,van,STATIC,VALID,0.813,-1.2230,-1.0900,16.8050,LOCAL_ARBITRARY,RELATIVE_SCALE,4.1500,6,,,
north-ridge,OBJ_T0046,T0046,van,STATIC,VALID,0.638,-2.2030,-2.1410,19.4850,LOCAL_ARBITRARY,RELATIVE_SCALE,15.0000,3,,,
north-ridge,OBJ_T0047,T0047,van,STATIC,LOW_CONFIDENCE,0.663,-5.0740,-0.3070,11.4290,LOCAL_ARBITRARY,RELATIVE_SCALE,2.8000,2,,,
north-ridge,OBJ_T0048,T0048,van,STATIC,LOW_CONFIDENCE,0.584,-5.1080,-0.0320,10.2800,LOCAL_ARBITRARY,RELATIVE_SCALE,0.1200,1,,,
north-ridge,OBJ_T0049,T0049,van,STATIC,VALID,0.864,-1.5500,0.1630,13.9500,LOCAL_ARBITRARY,RELATIVE_SCALE,3.8200,3,,,
north-ridge,OBJ_T0050,T0050,van,STATIC,VALID,0.684,-5.5340,-1.1280,15.8290,LOCAL_ARBITRARY,RELATIVE_SCALE,11.4800,4,,,
north-ridge,OBJ_T0051,T0051,van,STATIC,LOW_CONFIDENCE,0.556,-5.4180,-0.6610,13.5320,LOCAL_ARBITRARY,RELATIVE_SCALE,9.1700,2,,,
north-ridge,OBJ_T0052,T0052,van,STATIC,VALID,0.773,-5.1800,-0.7750,13.7080,LOCAL_ARBITRARY,RELATIVE_SCALE,6.2200,3,,,
north-ridge,OBJ_T0053,T0053,van,STATIC,LOW_CONFIDENCE,0.624,-5.5330,-0.5710,13.4850,LOCAL_ARBITRARY,RELATIVE_SCALE,4.7000,2,,,
north-ridge,OBJ_T0054,T0054,van,STATIC,LOW_CONFIDENCE,0.701,-1.3880,1.6770,9.4980,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0500,1,,,
north-ridge,OBJ_T0055,T0055,van,STATIC,VALID,0.856,-1.6210,-1.1290,16.8270,LOCAL_ARBITRARY,RELATIVE_SCALE,7.6100,3,,,
north-ridge,OBJ_T0056,T0056,van,STATIC,LOW_CONFIDENCE,0.631,-0.9790,1.5000,9.5630,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0200,1,,,
north-ridge,OBJ_T0057,T0057,van,STATIC,VALID,0.787,-4.5340,-3.3980,22.1930,LOCAL_ARBITRARY,RELATIVE_SCALE,4.9800,3,,,
north-ridge,OBJ_T0058,T0058,van,STATIC,VALID,0.788,-5.2710,-2.6610,21.1660,LOCAL_ARBITRARY,RELATIVE_SCALE,5.5000,3,,,
north-ridge,OBJ_T0059,T0059,van,STATIC,VALID,0.702,-5.1920,-1.3540,16.3440,LOCAL_ARBITRARY,RELATIVE_SCALE,10.0700,3,,,
north-ridge,OBJ_T0060,T0060,van,STATIC,LOW_CONFIDENCE,0.59,-4.7610,-3.2030,21.9390,LOCAL_ARBITRARY,RELATIVE_SCALE,17.1700,5,,,
north-ridge,OBJ_T0061,T0061,van,STATIC,LOW_CONFIDENCE,0.546,-5.1440,-1.4020,16.4090,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0900,1,,,
north-ridge,OBJ_T0062,T0062,van,STATIC,VALID,0.588,-4.2010,-2.9950,22.1390,LOCAL_ARBITRARY,RELATIVE_SCALE,15.0400,2,,,
north-ridge,OBJ_T0063,T0063,van,STATIC,LOW_CONFIDENCE,0.614,-1.1150,0.6460,12.4790,LOCAL_ARBITRARY,RELATIVE_SCALE,0.1700,1,,,
north-ridge,OBJ_T0064,T0064,van,STATIC,VALID,0.687,2.9900,-4.1060,20.5660,LOCAL_ARBITRARY,RELATIVE_SCALE,11.5200,3,,,
north-ridge,OBJ_T0065,T0065,van,STATIC,LOW_CONFIDENCE,0.567,1.5100,0.0350,7.2230,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0800,1,,,
north-ridge,OBJ_T0066,T0066,van,STATIC,VALID,0.535,-4.0860,-2.1800,20.0510,LOCAL_ARBITRARY,RELATIVE_SCALE,12.4700,2,,,
north-ridge,OBJ_T0067,T0067,van,STATIC,VALID,0.606,-2.7120,-2.3110,19.7580,LOCAL_ARBITRARY,RELATIVE_SCALE,8.0600,2,,,
north-ridge,OBJ_T0068,T0068,awning-tricycle,STATIC,LOW_CONFIDENCE,0.546,-3.6220,-0.0360,14.9130,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0800,1,,,
north-ridge,OBJ_T0069,T0069,van,STATIC,VALID,0.606,-4.9230,-3.9530,25.3830,LOCAL_ARBITRARY,RELATIVE_SCALE,16.8200,4,,,
north-ridge,OBJ_T0070,T0070,van,STATIC,LOW_CONFIDENCE,0.65,-1.5310,0.5820,12.8790,LOCAL_ARBITRARY,RELATIVE_SCALE,0.1200,1,,,
north-ridge,OBJ_T0071,T0071,van,STATIC,LOW_CONFIDENCE,0.647,-6.6250,-2.8530,20.8840,LOCAL_ARBITRARY,RELATIVE_SCALE,0.0200,1,,,
north-ridge,OBJ_T0072,T0072,van,STATIC,VALID,0.654,-1.5960,-0.6540,16.0810,LOCAL_ARBITRARY,RELATIVE_SCALE,9.3200,2,,,
north-ridge,OBJ_T0073,T0073,van,STATIC,VALID,0.671,-1.8850,-1.7200,18.2630,LOCAL_ARBITRARY,RELATIVE_SCALE,6.3900,2,,,
